Cycle start time,Cycle end time,Cycle timezone,Question text,Answered yes,Notes
,,,Ate food close to bedtime?,true,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Experienced a headache?,true,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Connected with family and/or friends?,true,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Felt a sense of purpose?,true,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Meditated?,false,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Engaged in sexual activity?,false,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Consumed caffeine?,true,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Avoided processed foods?,false,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Used marijuana?,false,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Experienced flow state?,false,"☀️ Did my meal prep, laundry, and Q3 / Gail’s reviews. Talked to Mom and Dad on the phone. Footy w Quinn and early bed.
☁️ I feel like most of Quinn and Is conversations are about missing Vermont and how life is different at this age.
🎯 Gym with one PR, get started on my Sprint, finish Owen Miller, TV w/ the boys!"
,,,Engaged in sexual activity?,false,
,,,Experienced flow state?,false,
,,,Felt depressed or down?,false,
,,,Have any alcoholic drinks?,true,
,,,Took a melatonin supplement?,false,
,,,Felt a sense of purpose?,false,
,,,Ate an afternoon snack?,false,
,,,Practiced contrast therapy (hot/cold)?,false,
,,,Spent time in a hot tub?,false,
,,,Felt nervous or anxious?,false,
,,,Experienced a headache?,false,
,,,Used marijuana?,false,
,,,Ate food close to bedtime?,false,
,,,Meditated?,false,
,,,Had a nightmare?,false,
,,,Consumed added sugar?,false,
,,,Feeling sick or ill?,false,
,,,Faced challenges?,false,
,,,Avoided processed foods?,false,
,,,Connected with family and/or friends?,false,
,,,Felt Irritable?,false,
,,,Feel generally positive about the future?,false,
,,,Ate all your meals during daylight hours?,false,
,,,Masturbated?,false,
,,,Ate a morning snack?,false,
,,,Took an ice bath?,false,
,,,Experienced loneliness?,false,
,,,Ate an evening snack?,false,
,,,Consumed caffeine?,false,
2026-03-18 23:56:01,,UTC-04:00,Had a nightmare?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Ate an evening snack?,true,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Ate a morning snack?,true,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Took a melatonin supplement?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Viewed a screen device in bed?,true,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Consumed carbohydrates?,true,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Meditated?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Masturbated?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Felt depressed or down?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Used marijuana?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Have any alcoholic drinks?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Experienced loneliness?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Ate all your meals during daylight hours?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Tracked your calories?,true,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Ate food close to bedtime?,true,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Felt Irritable?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Took creatine?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Took an ice bath?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Consumed added sugar?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Spent time in a hot tub?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Practiced contrast therapy (hot/cold)?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Consumed caffeine?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Experienced a headache?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Experienced flow state?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Avoided processed foods?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Consumed sodium?,true,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Feeling sick or ill?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Consumed fiber?,true,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Felt nervous or anxious?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Engaged in sexual activity?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Used a sauna?,false,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Consumed fats?,true,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Felt a sense of purpose?,true,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Ate an afternoon snack?,true,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Consumed protein?,true,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Connected with family and/or friends?,true,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Faced challenges?,true,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 23:56:01,,UTC-04:00,Feel generally positive about the future?,true,"☀️ enjoyed listening to podcast on the way back after saying goodbye to G and Caleb, I had a good training session, had some really good cold outreach, aura, and some good voice memo conversation with Hugs
☁️ spent too much time on my phone and took my computer to bed when I should’ve just called it. Too much snacking at night.
🎯 do my best at sparring, finish my cold outreach, take a chunk out of the haymaker for Hope thank you notes"
2026-03-18 00:34:45,2026-03-18 23:56:01,UTC-04:00,Used marijuana?,false,"☀️ Had an amazing day going to UVM training, visiting Caleb at Beta, organizing for OURA work, chilling w Nathán and the Beta boys at Main St. Watching the game w Jake and Phoebe and Sasha. Boxing with Garrett. Catching up with Milly, Ishaq, and seeing a bunch of the UVM boys.
☁️ Walked past a few people without stopping to say hello (Ryan Zellefrows parents) and didn’t talk to any new people when downtown
🎯 Back to Bos, train hard, catch up on OURA applications"
2026-03-18 00:34:45,2026-03-18 23:56:01,UTC-04:00,Experienced loneliness?,false,"☀️ Had an amazing day going to UVM training, visiting Caleb at Beta, organizing for OURA work, chilling w Nathán and the Beta boys at Main St. Watching the game w Jake and Phoebe and Sasha. Boxing with Garrett. Catching up with Milly, Ishaq, and seeing a bunch of the UVM boys.
☁️ Walked past a few people without stopping to say hello (Ryan Zellefrows parents) and didn’t talk to any new people when downtown
🎯 Back to Bos, train hard, catch up on OURA applications"
2026-03-18 00:34:45,2026-03-18 23:56:01,UTC-04:00,Ate food close to bedtime?,false,"☀️ Had an amazing day going to UVM training, visiting Caleb at Beta, organizing for OURA work, chilling w Nathán and the Beta boys at Main St. Watching the game w Jake and Phoebe and Sasha. Boxing with Garrett. Catching up with Milly, Ishaq, and seeing a bunch of the UVM boys.
☁️ Walked past a few people without stopping to say hello (Ryan Zellefrows parents) and didn’t talk to any new people when downtown
🎯 Back to Bos, train hard, catch up on OURA applications"
2026-03-18 00:34:45,2026-03-18 23:56:01,UTC-04:00,Felt Irritable?,true,"☀️ Had an amazing day going to UVM training, visiting Caleb at Beta, organizing for OURA work, chilling w Nathán and the Beta boys at Main St. Watching the game w Jake and Phoebe and Sasha. Boxing with Garrett. Catching up with Milly, Ishaq, and seeing a bunch of the UVM boys.
☁️ Walked past a few people without stopping to say hello (Ryan Zellefrows parents) and didn’t talk to any new people when downtown
🎯 Back to Bos, train hard, catch up on OURA applications"
2026-03-18 00:34:45,2026-03-18 23:56:01,UTC-04:00,Took an ice bath?,false,"☀️ Had an amazing day going to UVM training, visiting Caleb at Beta, organizing for OURA work, chilling w Nathán and the Beta boys at Main St. Watching the game w Jake and Phoebe and Sasha. Boxing with Garrett. Catching up with Milly, Ishaq, and seeing a bunch of the UVM boys.
☁️ Walked past a few people without stopping to say hello (Ryan Zellefrows parents) and didn’t talk to any new people when downtown
🎯 Back to Bos, train hard, catch up on OURA applications"
2026-03-18 00:34:45,2026-03-18 23:56:01,UTC-04:00,Spent time in a hot tub?,false,"☀️ Had an amazing day going to UVM training, visiting Caleb at Beta, organizing for OURA work, chilling w Nathán and the Beta boys at Main St. Watching the game w Jake and Phoebe and Sasha. Boxing with Garrett. Catching up with Milly, Ishaq, and seeing a bunch of the UVM boys.
☁️ Walked past a few people without stopping to say hello (Ryan Zellefrows parents) and didn’t talk to any new people when downtown
🎯 Back to Bos, train hard, catch up on OURA applications"
2026-03-18 00:34:45,2026-03-18 23:56:01,UTC-04:00,Experienced flow state?,true,"☀️ Had an amazing day going to UVM training, visiting Caleb at Beta, organizing for OURA work, chilling w Nathán and the Beta boys at Main St. Watching the game w Jake and Phoebe and Sasha. Boxing with Garrett. Catching up with Milly, Ishaq, and seeing a bunch of the UVM boys.
☁️ Walked past a few people without stopping to say hello (Ryan Zellefrows parents) and didn’t talk to any new people when downtown
🎯 Back to Bos, train hard, catch up on OURA applications"
2026-03-18 00:34:45,2026-03-18 23:56:01,UTC-04:00,Experienced a headache?,true,"☀️ Had an amazing day going to UVM training, visiting Caleb at Beta, organizing for OURA work, chilling w Nathán and the Beta boys at Main St. Watching the game w Jake and Phoebe and Sasha. Boxing with Garrett. Catching up with Milly, Ishaq, and seeing a bunch of the UVM boys.
☁️ Walked past a few people without stopping to say hello (Ryan Zellefrows parents) and didn’t talk to any new people when downtown
🎯 Back to Bos, train hard, catch up on OURA applications"
2026-03-18 00:34:45,2026-03-18 23:56:01,UTC-04:00,Consumed fiber?,false,"☀️ Had an amazing day going to UVM training, visiting Caleb at Beta, organizing for OURA work, chilling w Nathán and the Beta boys at Main St. Watching the game w Jake and Phoebe and Sasha. Boxing with Garrett. Catching up with Milly, Ishaq, and seeing a bunch of the UVM boys.
☁️ Walked past a few people without stopping to say hello (Ryan Zellefrows parents) and didn’t talk to any new people when downtown
🎯 Back to Bos, train hard, catch up on OURA applications"
2026-03-18 00:34:45,2026-03-18 23:56:01,UTC-04:00,Consumed fats?,false,"☀️ Had an amazing day going to UVM training, visiting Caleb at Beta, organizing for OURA work, chilling w Nathán and the Beta boys at Main St. Watching the game w Jake and Phoebe and Sasha. Boxing with Garrett. Catching up with Milly, Ishaq, and seeing a bunch of the UVM boys.
☁️ Walked past a few people without stopping to say hello (Ryan Zellefrows parents) and didn’t talk to any new people when downtown
🎯 Back to Bos, train hard, catch up on OURA applications"
2026-03-18 00:34:45,2026-03-18 23:56:01,UTC-04:00,Connected with family and/or friends?,true,"☀️ Had an amazing day going to UVM training, visiting Caleb at Beta, organizing for OURA work, chilling w Nathán and the Beta boys at Main St. Watching the game w Jake and Phoebe and Sasha. Boxing with Garrett. Catching up with Milly, Ishaq, and seeing a bunch of the UVM boys.
☁️ Walked past a few people without stopping to say hello (Ryan Zellefrows parents) and didn’t talk to any new people when downtown
🎯 Back to Bos, train hard, catch up on OURA applications"
2026-03-18 00:34:45,2026-03-18 23:56:01,UTC-04:00,Ate an evening snack?,true,"☀️ Had an amazing day going to UVM training, visiting Caleb at Beta, organizing for OURA work, chilling w Nathán and the Beta boys at Main St. Watching the game w Jake and Phoebe and Sasha. Boxing with Garrett. Catching up with Milly, Ishaq, and seeing a bunch of the UVM boys.
☁️ Walked past a few people without stopping to say hello (Ryan Zellefrows parents) and didn’t talk to any new people when downtown
🎯 Back to Bos, train hard, catch up on OURA applications"
